City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
67,Palu,-0.8917,119.8707,75.6,95,100,2.75,ID,2022-05-22 21:49:09
68,Goderich,43.7501,-81.7165,46.9,87,100,6.91,CA,2022-05-22 21:49:10
69,Saldanha,-33.0117,17.9442,53.65,89,73,2.01,ZA,2022-05-22 21:49:11
70,Hobart,-42.8794,147.3294,48.25,90,75,10.36,AU,2022-05-22 21:44:59
71,Arraial Do Cabo,-22.9661,-42.0278,71.46,68,0,16.11,BR,2022-05-22 21:49:15
72,Sangar,63.9242,127.4739,43.88,82,34,1.7,RU,2022-05-22 21:49:15
73,Ponta Do Sol,32.6667,-17.1,67.12,74,13,3.91,PT,2022-05-22 21:49:16
74,Georgetown,5.4112,100.3354,80.53,93,20,3.44,MY,2022-05-22 21:49:02
75,Nikolskoye,59.7035,30.7861,39.09,60,12,2.66,RU,2022-05-22 21:48:43
76,Hamilton,39.1834,-84.5333,70.25,64,100,10.36,US,2022-05-22 21:47:52
77,Salalah,17.0151,54.0924,84.29,84,75,6.91,OM,2022-05-22 21:49:19
78,Ribeira Grande,38.5167,-28.7,64.8,100,100,3.44,PT,2022-05-22 21:49:19
79,Narasannapeta,18.4167,84.05,82.67,77,41,2.71,IN,2022-05-22 21:49:19
80,Nouadhibou,20.931,-17.0347,66.18,88,1,18.41,MR,2022-05-22 21:49:20
81,Ruteng,-8.6136,120.4721,60.53,93,17,1.43,ID,2022-05-22 21:49:21
82,Lebu,-37.6167,-73.65,51.33,81,100,8.75,CL,2022-05-22 21:49:21
83,Dikson,73.5069,80.5464,22.3,90,69,8.16,RU,2022-05-22 21:49:22
84,Cherskiy,68.75,161.3,54.14,44,91,17.74,RU,2022-05-22 21:49:22
85,Oriximina,-1.7656,-55.8661,76.24,88,9,1.05,BR,2022-05-22 21:49:22
86,Lorengau,-2.0226,147.2712,84.87,65,98,12.73,PG,2022-05-22 21:49:23
87,Torbay,47.6666,-52.7314,59.77,52,100,13.8,CA,2022-05-22 21:47:05
88,Tuatapere,-46.1333,167.6833,46.42,80,62,7.85,NZ,2022-05-22 21:49:23
89,Challapata,-18.9,-66.7667,44.04,22,7,8.57,BO,2022-05-22 21:49:24
90,Saint-Marc,19.1082,-72.6938,82.33,70,41,7.85,HT,2022-05-22 21:49:25
91,Bardiyah,31.7561,25.0865,65.59,75,0,13.62,LY,2022-05-22 21:49:25
92,Saint Anthony,45.0205,-93.218,59.14,37,100,11.5,US,2022-05-22 21:49:26
93,San Quintin,30.4833,-115.95,66.11,57,0,12.12,MX,2022-05-22 21:49:26
94,Chuy,-33.6971,-53.4616,54.55,77,71,5.95,UY,2022-05-22 21:49:26
95,Ambilobe,-13.2,49.05,73.71,70,72,4.16,MG,2022-05-22 21:49:27
96,Saint-Augustin,51.226,-58.6502,50.81,86,70,10.31,CA,2022-05-22 21:49:27
97,Kaputa,-8.4689,29.6619,67.98,79,43,2.93,ZM,2022-05-22 21:49:28
98,Ardatov,55.2421,43.097,28.49,86,21,6.46,RU,2022-05-22 21:49:29
99,Kodiak,57.79,-152.4072,47.71,81,100,17.27,US,2022-05-22 21:47:25
100,Harnosand,62.6323,17.9379,44.62,74,38,6.17,SE,2022-05-22 21:49:29
101,Jamestown,42.097,-79.2353,56.52,94,100,12.66,US,2022-05-22 21:47:45
102,Mitchell,43.7094,-98.0298,61.11,34,20,5.75,US,2022-05-22 21:49:30
103,Verkhoyansk,67.5447,133.385,45.55,71,36,1.48,RU,2022-05-22 21:49:30
104,Sorland,67.667,12.6934,46.26,91,94,6.13,NO,2022-05-22 21:49:31
105,Forbes,-33.3833,148.0167,51.93,87,16,7.23,AU,2022-05-22 21:49:31
106,Kosh-Agach,50.0,88.6667,53.49,51,61,5.14,RU,2022-05-22 21:49:32
107,Raga,8.4596,25.678,76.93,65,92,3.69,SS,2022-05-22 21:49:33
108,Key West,24.5557,-81.7826,91.4,71,75,24.16,US,2022-05-22 21:49:34
109,Padang,-0.9492,100.3543,76.35,84,86,3.83,ID,2022-05-22 21:49:35
110,Coihaique,-45.5752,-72.0662,37.35,81,40,9.22,CL,2022-05-22 21:49:35
111,Flinders,-34.5833,150.8552,54.68,92,99,4.0,AU,2022-05-22 21:49:37
112,Sohag,26.557,31.6948,77.29,22,0,8.03,EG,2022-05-22 21:49:38
113,Kaitangata,-46.2817,169.8464,48.38,75,96,15.23,NZ,2022-05-22 21:49:39
114,Hervey Bay,-25.2986,152.8535,70.84,71,98,20.69,AU,2022-05-22 21:49:39
115,Iqaluit,63.7506,-68.5145,26.33,86,100,24.16,CA,2022-05-22 21:48:57
116,Taoudenni,22.6783,-3.9836,92.53,9,0,10.4,ML,2022-05-22 21:41:03
117,Longyearbyen,78.2186,15.6401,35.44,87,75,2.3,SJ,2022-05-22 21:49:41
118,Haines Junction,60.7522,-137.5108,58.95,26,100,9.22,CA,2022-05-22 21:49:42
119,Vaitape,-16.5167,-151.75,81.01,70,13,15.46,PF,2022-05-22 21:49:23
120,Suzhou,31.3114,120.6181,67.46,73,100,8.61,CN,2022-05-22 21:49:42
121,Kempsey,-31.0833,152.8333,56.95,94,100,1.01,AU,2022-05-22 21:49:43
122,Wanning,18.8003,110.3967,78.6,92,100,5.88,CN,2022-05-22 21:49:43
123,New Norfolk,-42.7826,147.0587,47.91,85,66,1.92,AU,2022-05-22 21:49:43
124,Te Anau,-45.4167,167.7167,41.47,86,12,0.58,NZ,2022-05-22 21:49:44
125,Nortelandia,-14.4547,-56.8028,73.33,49,79,2.93,BR,2022-05-22 21:49:45
126,Nanortalik,60.1432,-45.2371,36.45,94,99,9.6,GL,2022-05-22 21:49:45
127,Victoria,22.2855,114.1577,77.18,93,95,18.01,HK,2022-05-22 21:46:14
128,Ketchikan,55.3422,-131.6461,55.87,67,20,14.97,US,2022-05-22 21:41:38
129,Nesbyen,60.5681,9.1027,53.01,84,100,5.17,NO,2022-05-22 21:49:46
130,Lompoc,34.6391,-120.4579,79.7,68,0,18.01,US,2022-05-22 21:49:03
131,Sakakah,29.9697,40.2064,81.97,26,2,20.69,SA,2022-05-22 21:39:58
132,Vaini,-21.2,-175.2,80.76,83,40,8.05,TO,2022-05-22 21:49:47
133,Ancud,-41.8697,-73.8203,47.57,72,17,15.57,CL,2022-05-22 21:40:11
134,Narsaq,60.9167,-46.05,39.42,97,98,6.8,GL,2022-05-22 21:49:47
135,Ulaanbaatar,47.9077,106.8832,35.73,69,0,0.0,MN,2022-05-22 21:48:09
136,Villa Maria,-32.4075,-63.2402,65.82,56,5,13.67,AR,2022-05-22 21:49:48
137,Ola,59.5833,151.2833,43.14,89,100,21.88,RU,2022-05-22 21:49:49
138,Jeffersonville,38.2776,-85.7372,68.58,68,100,9.22,US,2022-05-22 21:46:21
139,Russell,32.3502,-85.1999,82.0,83,0,3.44,US,2022-05-22 21:45:18
140,Bredasdorp,-34.5322,20.0403,55.33,90,77,4.54,ZA,2022-05-22 21:45:47
141,Guaymas,27.9333,-110.9,92.88,37,56,11.45,MX,2022-05-22 21:49:50
142,Grand Gaube,-20.0064,57.6608,73.8,79,5,4.0,MU,2022-05-22 21:49:50
143,San Cristobal,7.7669,-72.225,78.98,50,1,5.08,VE,2022-05-22 21:40:55
144,Thinadhoo,0.5333,72.9333,83.46,75,70,11.88,MV,2022-05-22 21:41:13
145,Hasaki,35.7333,140.8333,59.4,85,100,12.66,JP,2022-05-22 21:49:51
146,Raudeberg,61.9875,5.1352,54.27,75,100,12.03,NO,2022-05-22 21:49:51
147,Alofi,-19.0595,-169.9187,82.29,78,9,6.91,NU,2022-05-22 21:49:51
148,Batagay-Alyta,67.8006,130.4114,34.86,80,95,2.68,RU,2022-05-22 21:49:52
149,Islampur,26.2667,88.2,75.18,88,98,2.71,IN,2022-05-22 21:49:52
150,Olinda,-8.0089,-34.8553,82.13,74,75,16.11,BR,2022-05-22 21:40:35
151,Saint-Pierre,-21.3393,55.4781,68.92,73,0,9.22,RE,2022-05-22 21:49:52
152,Sistranda,63.7256,8.834,51.76,85,100,12.39,NO,2022-05-22 21:49:53
153,Norman Wells,65.282,-126.8329,46.44,46,75,4.61,CA,2022-05-22 21:49:53
154,Vardo,70.3705,31.1107,37.38,93,100,16.11,NO,2022-05-22 21:49:54
155,Nicoya,10.1483,-85.452,85.01,68,85,5.99,CR,2022-05-22 21:49:54
156,Ilulissat,69.2167,-51.1,35.62,87,100,4.61,GL,2022-05-22 21:49:55
157,Shiogama,38.3167,141.0333,57.18,91,100,0.96,JP,2022-05-22 21:49:55
158,Loukhi,66.0764,33.0381,30.07,77,36,4.16,RU,2022-05-22 21:49:56
159,Straumen,63.8709,11.2999,51.8,83,54,4.85,NO,2022-05-22 21:49:56
160,Novospasskoye,53.1468,47.7514,43.61,92,100,7.61,RU,2022-05-22 21:49:56
161,Thompson,55.7435,-97.8558,62.76,20,100,14.97,CA,2022-05-22 21:49:17
162,Canete,-37.8,-73.4,49.35,91,100,2.71,CL,2022-05-22 21:49:00
163,Chapais,49.7834,-74.8492,35.38,87,100,6.78,CA,2022-05-22 21:47:46
164,Shahganj,26.05,82.6833,80.82,57,13,11.7,IN,2022-05-22 21:49:57
165,Fort Nelson,58.8053,-122.7002,58.59,47,40,3.44,CA,2022-05-22 21:40:58
166,Waipawa,-41.4122,175.5153,51.51,64,77,8.05,NZ,2022-05-22 21:40:18
167,Upata,8.0086,-62.3989,74.19,90,91,4.63,VE,2022-05-22 21:49:59
